brand_id,brand_name,country_of_origin,year_of_foundation,headquarters_country,parent_company,employees,age_prenatal,age_0_5,age_6_12,age_teens,age_young_adults,age_seniors,demographics_income_level,income_low,income_middle,income_high,income_premium,income_snap_support,demographics_geographic_reach,demographics_gender,demographics_lifestyle,lifestyle_family,lifestyle_youth,lifestyle_seniors,lifestyle_health_focused,lifestyle_convenience,lifestyle_tech_savvy,lifestyle_sustainability_conscious,online_sales,has_franchises,has_drive_through,owns_fleet,electric_vehicles_percent,fossil_fuel_reliance,esg_programs,sustainability_actions,target_population,main_partnerships,branding_innovation_level,supply_chain_localization,product_portfolio_diversity,revenue_billion_usd,customer_loyalty_index,r_and_d_spend_percent_revenue,women_board_percent,ceo_tenure_years,market_cap_billion_usd,major_sustainability_award_last5y,references_and_links
344687,00 Null Null,Germany,2010,Germany,Private German cleaning products company,80,0,0,0,0,0,0,B2B/Consumer cleaning products,0,0,0,0,0,"Europe (Germany, Switzerland primarily)",N/A - cleaning products,N/A - cleaning/hygiene products,0,0,0,0,0,0,0,1,0,0,0,0,Moderate; chemical manufacturing,Limited,Minimal,European consumers seeking toilet/bathroom cleaning products,"European retailers, distributors",1,85,2,0.04,55,0.5,20,3,0,0,https://www.galaxus.ch; Limited English sources
342833,100 Grand,United States,1964,United States,Ferrero SpA [finance:Ferrero SpA] (acquired 2018 from Nestlé),100,0,1,1,1,1,0,"All income levels, candy consumers",1,1,1,0,1,"United States (national), some international",All genders,"Candy enthusiasts, convenience seekers, all ages",1,1,1,0,1,0,0,1,0,0,0,0,Minimal; candy brand,Limited; inherited from Ferrero,Packaging optimization efforts,"Candy lovers, all ages, all income levels","Ferrero (parent), retailers, convenience stores, vending",1,40,1,0.18,65,0.8,25,2,0,0,https://en.wikipedia.org/wiki/100_Grand_Bar
342482,1792 Ridgemont Reserve,United States,1980,United States,Private,200,0,1,1,1,1,1,All income levels,1,1,1,0,1,National,All genders,1792 Ridgemont Reserve consumers,1,1,1,0,1,0,0,1,0,0,0,1,Moderate,Limited,Minimal,1792 Ridgemont Reserve shoppers,Retailers,1,60,2,0.2,70,1,25,2,0,0,N/A
342921,1950 127 Cheese,United States,1950,United States,"Foremost Farms USA (dairy cooperative, sold to Wisconsin Dairy Distributing 2025)",45,0,0,0,0,0,0,B2B foodservice,0,0,0,0,0,U.S. foodservice sector,N/A - B2B,N/A - B2B,0,0,0,0,0,0,0,0,0,0,0,0,Moderate; dairy production,Limited; cooperative model,Dairy sustainability programs,"Foodservice operators, cheese buyers","Wisconsin Dairy Distributing (new owner), foodservice chains",0,90,1,0.02,70,0.1,15,4,0,0,https://www.foremostfarms.com/foremost-farms-announces-strategic-sale-of-1950-127-brand
345200,2nd Street Creamery,United States,1995,United States,Private ice cream company,35,0,1,1,1,1,0,"All income levels, ice cream consumers",1,1,1,0,0,Regional U.S. (ice cream distribution),"All genders, families","Families, ice cream enthusiasts, dessert lovers",1,1,0,0,1,0,0,0,0,0,0,0,Moderate; ice cream production,Limited,Minimal,"Families, dessert lovers, ice cream consumers","Regional retailers, ice cream distributors",1,70,2,0.03,72,0.5,20,3,0,0,http://www.onsecondscoop.com/2014/04/2nd-st-creamery-cannoli-di-nonni-ice.html
343872,3 Musketeers,United States,1932,United States,"Mars, [finance:Mars, Inc.] (private - family-owned)",150,0,1,1,1,1,0,"All income levels, candy consumers",1,1,1,0,1,"United States (national), international",All genders,"Candy enthusiasts, convenience seekers, chocolate lovers",1,1,1,0,1,0,0,1,0,0,0,0,Minimal; candy brand,Limited; Mars sustainability focus,Cocoa sourcing initiatives (Mars),"Candy lovers, all ages, all income levels","Mars (parent), retailers, vending",1,45,1,0.25,72,0.8,25,3,0,0,https://www.businessinsider.com/mars-inc-family-fortune-net-worth-lifestyle-snickers-twix-2019-3
341807,365 by Whole Foods Market,United States,2010,United States,"Amazon.com, [finance:Amazon.com, Inc.] / Whole Foods Market (NASDAQ: AMZN)",2000,0,1,1,1,1,1,"All income levels, value-conscious organic seekers",1,1,1,0,1,"United States, Canada, United Kingdom (Whole Foods presence)","All genders, families","Health-conscious, organic seekers, budget-conscious, value-seekers",1,1,1,1,1,1,1,1,0,0,0,0,Minimal; private label grocery,"Strong organic/natural focus, sustainability mission","Organic certification, sustainable sourcing, packaging optimization","Value-conscious organic consumers, Whole Foods/Amazon customers","Amazon (parent), Whole Foods Market",2,50,6,1.8,78,1.5,40,2,0,1,https://en.wikipedia.org/wiki/365_by_Whole_Foods_Market; https://www.wholefoodsmarket.com/departments/365-products
341900,40 Knots Seafood,United States,2005,United States,Associated Food Stores (private - regional retailer brand),60,0,1,1,1,1,1,"All income levels, seafood consumers",1,1,1,0,1,U.S. regional (Western states),"All genders, families","Health-conscious, seafood enthusiasts, families",1,1,1,1,1,0,1,0,0,0,0,0,Moderate; seafood distribution,Sustainable seafood focus,Farm-raised seafood programs,"Regional U.S. families, health-conscious seafood consumers","Associated Food Stores, regional retailers",1,65,2,0.08,70,0.3,20,3,0,0,https://smartlabel.capecovelle.com
342186,4Grain,United States,2008,United States,Private cereal/grain company,25,0,1,1,0,0,1,"All income levels, health-focused",1,1,1,0,0,United States (specialty retailers),"All genders, families","Health-conscious, whole grain seekers, breakfast-focused",1,0,1,1,1,0,1,1,0,0,0,0,Minimal; cereal/grain products,Whole grain sustainability focus,Sustainable grain sourcing,"Health-conscious breakfast consumers, families","Natural/specialty retailers, distributors",1,60,2,0.02,65,0.8,30,2,0,0,Limited public information
343415,5 Star Beef,United States,1990,United States,Private beef distributor/processor,200,0,0,0,0,0,0,B2B foodservice,0,0,0,0,0,U.S. foodservice sector,N/A - B2B,N/A - B2B,0,0,0,0,0,0,0,0,0,0,1,1,High; beef distribution,Limited; beef industry focus,Quality assurance programs,"Foodservice operators, restaurants, institutional buyers","Foodservice chains, hotels, restaurants",1,70,2,0.15,75,0.3,15,4,0,0,https://5starbeef.com
