brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
00 Null Null,"S. C. Johnson & Son, Inc.",Household & Personal Products,3,0,-1,CL-01,1.0,0,11000,Germany,0,0
100 Grand,Ferrero Group,Processed Foods,0,0,-1,CL-01,0.6,547505,12700,United States,0,0
1950 127 Cheese,Foremost Farms USA Cooperative,"Meat, Poultry & Dairy",3,0,-1,CL-01,1.0,0,1700,United States,0,0
2nd Street Creamery,"Wells Enterprises, Inc.",Processed Foods,3,0,-1,CL-01,1.0,0,1000,United States,0,0
3 Musketeers,"Mars, Incorporated",Processed Foods,0,0,-1,CL-01,1.0,0,40000,United States,0,0
365 by Whole Foods Market,Amazon,E-commerce,1,0,-1,CL-01,0.0,17060000,513980,United States,0,1
40 Knots Seafood,Associated Food Stores,Processed Foods,3,0,-1,CL-01,0.0,2660014,13884,United States,0,0
4Grain,"Cal-Maine Foods, Inc.","Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,400429,1349,United States,0,0
5 Star Beef,JBS USA,"Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,5558685,374900,United States,1,0
5th Avenue,Hershey Company,Processed Foods,0,0,-1,CL-01,0.0,247850,8971,United States,0,0
7-Eleven,7-Eleven Inc.,Food Retailers & Distributors,3,0,-1,CL-01,0.0,2685885,86830,United States,2,0
7-Up,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,-1,CL-01,0.0,4231588,86392,United States,0,0
7UP,Keurig,Non-Alcoholic Beverages,0,0,-1,CL-01,0.0,323508,12683,United States,0,0
9 Lives,J. M. Smucker Company,Processed Foods,0,0,-1,CL-01,0.0,208640,7999,United States,0,0
99 Ranch,99 Ranch,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,132,United States,1,0
A New Day,Target,Multiline and Specialty Retailers & Distributors,0,0,-1,CL-01,0.0,1671179,109120,United States,0,0
A Pinch or a Pound,Associated Food Stores,Processed Foods,3,0,-1,CL-01,0.0,2660014,13884,United States,0,0
A&M,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,United States,1,0
A&W,Keurig,Non-Alcoholic Beverages,3,0,-1,CL-01,0.0,323508,12683,United States,0,0
